responses,revenue,payment,variable,infrastructure_margin,contribution,after_overhead,infra
0,0.0,0.0,0.0,-75.0,-95.0,-195.0,75
100,1.0,0.329,0.05,-74.379,-94.379,-194.37900000000002,75
1000,10.0,0.5900000000000001,0.5,-66.09,-86.09,-186.09,75
10000,100.0,3.2,5.0,16.799999999999997,-3.200000000000003,-103.2,75
100000,1000.0,29.3,50.0,845.7,825.7,725.7,75
1000000,10000.0,290.3,500.0,9134.7,9114.7,9014.7,75
0,0.0,0.0,0.0,-200.0,-220.0,-320.0,200
100,1.0,0.329,0.05,-199.379,-219.379,-319.379,200
1000,10.0,0.5900000000000001,0.5,-191.09,-211.09,-311.09000000000003,200
10000,100.0,3.2,5.0,-108.2,-128.2,-228.2,200
100000,1000.0,29.3,50.0,720.7,700.7,600.7,200
1000000,10000.0,290.3,500.0,9009.7,8989.7,8889.7,200
0,0.0,0.0,0.0,-500.0,-520.0,-620.0,500
100,1.0,0.329,0.05,-499.379,-519.379,-619.379,500
1000,10.0,0.5900000000000001,0.5,-491.09,-511.09,-611.0899999999999,500
10000,100.0,3.2,5.0,-408.2,-428.2,-528.2,500
100000,1000.0,29.3,50.0,420.70000000000005,400.70000000000005,300.70000000000005,500
1000000,10000.0,290.3,500.0,8709.7,8689.7,8589.7,500
